Address,Area,Price_per_ft2,Rooms,Area-ft2,Rent_Price,Lat,Long
"BhagyalaxmiNagar,Kavadiguda",Upper West Side,2.94,5,3400,10000,,
"Gachibowli,OuterRingRoad",Upper East Side,3.57,3,2100,7500,,
Gachibowli,Upper West Side,1.89,4,2800,5300,,
"Moosapet,NH",West Village,3.03,2,1650,5000,,
RaghavendraColonykondapur,Chelsea,3.45,2,1450,5000,,
"BanjaraDarwaja,GolcondaFort",West Village,3.56,2,1350,4800,,
"MohansSaiSignature,Nanakramguda",Upper East Side,3.21,2,1450,4650,,
Gowlidoddy,Upper East Side,1.85,3,2430,4500,,
"Somajiguda,NH",Upper East Side,3.21,2,1400,4500,,
Kapra,Upper East Side,5,1,900,4500,,
"TilakNagar,NewNallakunta,NH",Chelsea,2.21,2,2040,4500,,
"Neknampur,Manikonda,OuterRingRoad",Murray Hill,2.09,2,2150,4500,,
"MayuriNagar,Miyapur",Murray Hill,1.96,3,2300,4500,,
"AccurateWindChimes,Narsingi,OuterRingRoad",Upper East Side,2.07,3,2100,4350,,
"HyderNagar,NH",Murray Hill,3.25,2,1340,4350,,
"VajrasJasmineCounty,Financialdistrictgucchibowli",Chelsea,3.04,2,1400,4250,,
"TirumalaGardens,BanjaraHills,NH",Rental in Lenox Hill,5.54,2,1579,8750,,
"ParagonVenkatadriApartments,Kachiguda,NH",Chelsea,4.57,1,930,4250,,
"MeenakshiHomes,Miyapur,NH",Chelsea,4.83,1,870,4200,,
Papulguda,Upper East Side,4.44,1,900,4000,,
"Bachupally,OuterRingRoad",Upper East Side,5.33,1,750,4000,,
NanakramGuda,Upper East Side,5,1,800,4000,,
"L&TSereneCounty,Gachibowli,OuterRingRoad",Rental in Yorkville,7.27,3,2200,15984,,
"SMPlaza,ECIL",Rental in Greenwich Village,7.6,3,2100,15950,,
"ChattaBazaar,PatharGatti",Rental in Financial District,6,6,2000,12000,,
"LodhaMeridian,KukatpallyHousingBoardColony,NH",Rental in Yorkville,6.69,3,1647,11016,,
HitechCity,Rental in Riverside Dr./West End Ave.,7.15,4,2230,15950,,
"BanjaraHills,NH",Rental in Yorkville,5.87,4,2300,13511,,
"Gachibowli,OuterRingRoad",Rental in Hamilton Heights,2.73,2,3200,8750,,
Mehindipatnam,No fee rental in East Harlem,4.78,3,1450,6930,,
"YMCACircle,Narayanguda",No fee rental in Tribeca,6.48,2,1038,6724,,
"YMCACircle,Narayanguda",Rental in Tribeca,4.78,4,2500,11950,,
"VajrasJasmineCounty,Gachibowli,OuterRingRoad",Rental in Midtown West,5,3,1500,7500,,
JubileeHills,Rental in Chelsea,5.72,2,1267,7250,,
Kondapur,Rental in Midtown West,5.61,2,1250,7011,,
Kondapur,Rental in Lenox Hill,5.28,2,1308,6900,,
Kondapur,No fee rental in Riverside Dr./West End Ave.,5.46,2,1230,6710,,
"GolfView,Gachibowli,OuterRingRoad",Rental in Central Park West,5.56,3,1800,10000,,
DevanDevdi,Rental in Lenox Hill,6.47,3,1392,9000,,
"LodhaCasaParadiso,SanathNagar,NH",No fee rental in Yorkville,6.79,4,1759,11950,,
"SrilaParkPride,Kukatpally,NH",Rental in Lenox Hill,6.29,3,1750,11000,,
"GudiMalkapur,Mehdipatnam",Rental in Riverside Dr./West End Ave.,6.16,3,1622,9995,,
"Bachupally,OuterRingRoad",Rental in Tribeca,5.63,2,1600,9000,,
"BanjaraBaseraApartment,BanjaraHills,NH",Rental in Lenox Hill,11.74,2,852,10000,,
KPHB,No fee rental in Chelsea,8.16,2,1113,9080,,
"Dullapally,NH",Rental in Park/Fifth Ave. to 79th St.,8.95,3,950,8500,,
"VSRCelestialTowers,Gajularamaram",Rental in Lenox Hill,5,5,1600,8000,,
"Jeedimetla,NH",Rental in Tribeca,3.63,2,2000,7250,,
"VasanthNagarColony,Nizampet",No fee rental in Morningside Heights,5.2,3,1347,7010,,
"Nallagandla,Serilingampally",Rental in SoHo,3.45,1,2000,6900,,
BrindavanColony-ToliChowki,Rental in Chelsea,4.29,3,2000,8585,,
WestMarredpally,Rental in Financial District,5.02,3,1600,8027,,
"PBELCity,Appajunction",No fee rental in East Harlem,5.2,2,1500,7795,,
"AdityaEmpressTowers,Shaikpet",Rental in Greenwich Village,6.75,2,2000,13500,,
"PrestigeIvyLeague,Phase",No fee rental in Tribeca,4.65,3,1566,7286,,
Shri,Rental in Yorkville,6.7,3,1050,7031,,
"Upparpally,HyderabadExpressway",Rental in Financial District,6.48,2,1070,6935,,
"Gangaram,Chandanagar,NH",No fee rental in Chelsea,5.55,2,1214,6733,,
"SrinivasNagar,RhodaMistriNagar",Rental in Yorkville,6.55,2,1005,6578,,
"VasanthNagarColony,Nizampet",Rental in Financial District,4.88,2,1320,6435,,
Madhapur,Rental in Chelsea,4.85,2,1300,6300,,
"Annojiguda,NH",Rental in Flatiron/Union Square,5.77,2,1350,7783,,
"Neknampur,Manikonda,OuterRingRoad",Rental in Lenox Hill,5.82,2,1289,7500,,
"NGRI,Secunderabad",Rental in Chelsea,5.41,2,1340,7250,,
"Chandanagar,NH",Rental in Midtown West,5.39,2,1300,7011,,
"SamathaNagar,Kukatpally,NH",No fee rental in Flatiron/Union Square,6.47,2,1067,6905,,
BandlagudaJagir,Rental in Riverside Dr./West End Ave.,8.18,3,1622,13270,,
"JainsCarltonCreek,Gachibowli,OuterRingRoad",Rental in West Village,7.46,2,1340,10000,,
"Kukatpally,NH",No fee rental in Tribeca,5.58,3,1665,9286,,
"AdityaImperialHeights,Hafeezpet,NH",No fee rental in Financial District,3.74,3,2300,8595,,
"Nallagandla,Serilingampally",Rental in Midtown West,4.46,2,1800,8030,,
Gajularamaram,No fee rental in Tribeca,0.35,3,22200,7795,,
"Ramanthapur,NH",Rental in Yorkville,5.71,3,1322,7551,,
"ALINDEmployeesColony,Serilingampally",No fee rental in Murray Hill,4.67,3,1439,6715,,
"ARKHomes,Bolarum,MedchalRoad",Rental in Midtown West,4.33,2,1500,6500,,
"Kokapet,OuterRingRoad",Rental in Lenox Hill,5.35,1,1200,6425,,
"SMRVinayIconia,Kondapur",No fee rental in Lincoln Center,6.99,1,900,6295,,
HitechCity,Rental in Financial District,3.09,2,2000,6185,,
Papulguda,No fee rental in Flatiron/Union Square,6.75,2,1400,9455,,
"MyHomeVihanga,Gachibowli,OuterRingRoad",Rental in Midtown East,4.58,2,1300,5950,,
